date,slow_count,fast_count,avg(avg(sog)),fast,fast_vol,slow,slow_vol
2015-09-10,183,556,7.610237587490783,542.939984549572,60.439981589128465,181.8552007960533,26.094777340993986
2015-09-11,168,572,7.8008449739458525,530.0995803538373,61.12349336229793,171.73827640740132,26.18526828612834
2015-09-12,196,542,7.294587111242358,,,,
2015-09-13,188,480,6.89232288542925,,,,
2015-09-14,183,496,6.960675719629441,498.1105362887852,61.18771653928458,191.5930703815233,26.15523711674044
2015-09-15,182,504,6.906573238340082,536.9464045181733,61.10082485185122,186.90000926486957,26.22467938896253
2015-09-16,168,554,7.597427703512182,519.3653566979567,61.43339816348505,172.95152377168168,26.2663162397924
2015-09-17,189,521,7.373249382280611,529.104204694824,61.43111101605013,189.0239638121609,26.18141925668999
2015-09-18,170,545,7.460987917308048,524.7825406494652,61.694339601487854,175.02790248831195,26.281280325491586
2015-09-19,187,530,7.039849364724999,,,,
2015-09-20,202,546,7.647616794197947,,,,
2015-09-21,177,523,7.456372672963872,530.6855957646292,61.80835914274794,187.47220692648673,26.28418072869597
2015-09-22,178,535,7.432791152262546,510.3814138599071,61.998045663209155,179.63165962341805,26.24603120278878
2015-09-23,175,508,7.246861767265513,500.3367381535313,62.02142575952285,178.89090473281175,26.119011965103933
2015-09-24,205,491,7.321980087845705,517.6756398049756,62.02073705195095,198.81737347981533,25.677987902857453
2015-09-25,173,529,7.402617671743907,521.9815505446813,62.143751289459715,175.35824448194958,26.064597364315098
2015-09-26,179,530,7.57612773372095,,,,
2015-09-27,209,449,6.884817053065008,,,,
2015-09-28,223,404,6.656600034002582,478.7639184835984,62.131649695983754,179.0387781116091,25.930384441389442
2015-09-29,183,477,6.907361994642588,512.0555107999097,62.20048776549897,186.76294819589137,26.66781938403563
2015-09-30,175,501,7.0131022925348905,514.6740905302289,62.139919328933075,180.98794051746464,26.58865163896241
2015-10-01,176,514,7.2069838033414495,528.5845198875859,62.05543211136618,180.9305510778957,26.466196716369343
2015-10-02,166,544,7.416830772488135,530.5787116666556,62.292307905850095,172.37993903401244,26.453237780353913
2015-10-03,176,547,7.35175105781345,,,,
2015-10-04,205,534,7.1130035909487175,,,,
2015-10-05,193,527,7.085206308920273,521.7290575051643,62.415239044704045,177.66742974478214,26.464931899601368
2015-10-06,182,508,7.069715904997412,520.0820790309066,62.42987498913875,185.64014033633327,26.607182245087515
2015-10-07,169,519,7.296541218094697,506.24806396862533,62.440656615057634,176.9705210325201,26.515730944952175
2015-10-08,175,492,7.565643060189751,519.8596803354494,62.24119774318445,183.1434477005228,26.064555926682097
2015-10-09,173,524,7.5847347872716915,509.4241767979775,62.118612844889356,179.24547627251863,25.92706726091801
2015-10-10,193,500,7.465470877384541,,,,
2015-10-11,186,504,7.554677992867039,,,,
2015-10-12,194,525,7.264094588698227,511.36165333405404,59.370298317750205,193.9264511297121,25.85763497288239
2015-10-13,184,500,7.257669653600272,523.6467460873756,59.24167333349939,188.15569570282887,25.598414720490645
2015-10-14,178,524,7.281190682255608,426.9788677857023,59.27662920298237,183.0135463285575,25.488771230605675
2015-10-15,254,322,6.0651760416411244,439.58265435554637,62.55895814205042,246.29375038708102,25.475603393872547
2015-11-16,222,355,6.4776459471113474,527.8591480918489,64.32613024601663,223.2805837886319,27.03179310584664
2015-11-17,159,518,7.318941306049385,515.0889388407817,64.20674272719658,172.82994003494653,27.36908408484298
2015-11-18,182,491,6.86123893507171,523.9701403162368,64.14424916051712,189.92816450123448,27.35793500998435
2015-11-19,171,527,7.286021267798915,538.4751266821131,63.977192030345996,180.6608711825051,27.266262268625663
2015-11-20,150,548,7.505627730095161,521.0525695697113,63.90269135577546,165.74492877285434,27.2486635325923
2015-11-21,167,515,7.254884403492419,,,,
2015-11-22,170,472,7.030346203071481,,,,
2015-11-23,159,528,7.443188205320498,498.11584235510185,63.854281787499154,179.49616304512298,27.38229052445757
2016-02-04,213,376,6.027385899693665,534.2589127280999,65.27812270491421,221.09909882412967,27.21224388716411
2016-02-05,162,541,6.9102044618943,533.486081250349,65.19339473678346,179.30858591117854,27.44845857891692
2016-02-06,181,508,6.687388803701059,,,,
2016-02-07,195,499,6.450866635418749,,,,
2016-02-08,191,489,6.331748432818003,523.499711301994,65.0109182182537,194.91679609316688,27.394702709479628
2016-02-09,169,506,6.63518129421591,536.0703752578894,64.92464898478491,186.412802702122,27.18411950013308
2016-02-10,165,521,6.458012324219753,528.0656056276218,64.84297679124721,183.6967799317849,26.767177889288586
2016-02-11,177,507,6.54992944538308,537.9433381523456,64.86422273660082,192.61233502818385,26.49985120798971
2016-02-12,189,528,6.508775692095138,531.5397845001723,64.84777508314968,197.4568376345552,25.690800262739877
2016-02-13,186,514,6.716887918139988,,,,
2016-02-14,199,498,6.362845859120942,,,,
2016-02-15,184,526,6.300397923452194,522.4208544594627,64.86397900704813,194.9557635990612,25.39218270963145
2016-02-16,189,528,6.5403819846765705,531.5372243391382,64.86174973262847,195.5269787563953,24.97871249587481
2016-02-17,188,519,6.607836821147929,515.2989549752295,64.85707387685319,195.79219129450752,24.25176202842957
2016-02-18,192,483,6.565906639843985,529.7023553687668,64.93402190037334,200.9520946584585,23.560810641167983
2016-02-19,171,515,7.005626090232982,532.4063960551679,64.82721643057424,185.53968561392682,22.94225108140276
2016-02-20,158,518,6.659722633940742,,,,
2016-02-21,176,497,6.5020281865109535,,,,
2016-02-22,186,507,6.55511414128989,517.299462725066,64.81298919364943,176.02972624987214,22.954381505688094
2016-02-23,197,532,6.5940574587998295,521.2593677196812,64.86505265411391,198.2287620836348,22.55651233349145
2016-02-24,195,504,6.440564344992106,530.8078137027406,64.82560150102138,199.28887307541316,22.48251934391772
2016-02-25,185,521,6.690435705914968,522.152180263881,64.81344767802432,190.9247146835493,22.330158241002394
2016-02-26,201,506,6.567183238859602,521.5438282049987,63.43828578443928,203.18374542738545,21.841642843140168
2016-02-27,206,504,6.2503110091939975,,,,
